year,intent,police,sex,age,race
2014,Suicide,0,Female,40,Asian/Pacific Islander
2014,Suicide,0,Male,25,Asian/Pacific Islander
2014,Suicide,0,Female,41,Asian/Pacific Islander
2014,Suicide,0,Male,21,Asian/Pacific Islander
2014,Suicide,0,Male,66,Asian/Pacific Islander
2014,Suicide,0,Male,37,Asian/Pacific Islander
2014,Suicide,0,Male,31,Asian/Pacific Islander
2014,Suicide,0,Male,32,Asian/Pacific Islander
2014,Suicide,0,Male,26,Asian/Pacific Islander
2014,Suicide,0,Male,74,Asian/Pacific Islander
2014,Suicide,0,Male,18,Asian/Pacific Islander
2014,Suicide,0,Male,64,Asian/Pacific Islander
2014,Suicide,0,Male,41,Asian/Pacific Islander
2014,Suicide,0,Female,16,Asian/Pacific Islander
2014,Suicide,0,Female,31,Asian/Pacific Islander
2014,Suicide,0,Male,47,Asian/Pacific Islander
2014,Suicide,0,Male,18,Asian/Pacific Islander
2014,Suicide,0,Male,26,Asian/Pacific Islander
2014,Suicide,0,Male,78,Asian/Pacific Islander
2014,Suicide,0,Male,48,Asian/Pacific Islander
2014,Suicide,0,Male,22,Asian/Pacific Islander
2014,Suicide,0,Male,31,Asian/Pacific Islander
2014,Suicide,0,Male,59,Asian/Pacific Islander
2014,Suicide,0,Male,43,Asian/Pacific Islander
2014,Suicide,0,Male,44,Asian/Pacific Islander
2014,Suicide,0,Male,51,Asian/Pacific Islander
2014,Suicide,0,Male,39,Asian/Pacific Islander
2014,Undetermined,0,Male,20,Asian/Pacific Islander
2014,Undetermined,0,Male,13,Asian/Pacific Islander
2014,Undetermined,0,Male,18,Asian/Pacific Islander
2014,Undetermined,0,Male,53,Asian/Pacific Islander
2014,Accidental,0,Male,8,Black
2014,Accidental,0,Male,11,Black
2014,Accidental,0,Male,17,Black
2014,Accidental,0,Male,21,Black
2014,Accidental,0,Male,48,Black
2014,Accidental,0,Male,41,Black
2014,Accidental,0,Male,3,Black
2014,Accidental,0,Male,82,Black
2014,Accidental,0,Male,32,Black
2014,Accidental,0,Male,19,Black
2014,Accidental,0,Male,27,Black
2014,Accidental,0,Male,18,Black
2014,Accidental,0,Male,37,Black
2014,Accidental,0,Male,17,Black
2014,Accidental,0,Male,2,Black
2014,Accidental,0,Male,21,Black
2014,Accidental,0,Male,21,Black
2014,Accidental,0,Male,18,Black
2014,Accidental,0,Male,55,Black
2014,Accidental,0,Male,3,Black
2014,Accidental,0,Male,33,Black
2014,Accidental,0,Male,20,Black
2014,Accidental,0,Male,75,Black
2014,Accidental,0,Male,51,Black
2014,Accidental,0,Male,50,Black
2014,Accidental,0,Male,16,Black
2014,Accidental,0,Male,29,Black
2014,Accidental,0,Male,32,Black
2014,Accidental,0,Male,24,Black
2014,Accidental,0,Male,36,Black
2014,Accidental,0,Male,4,Black
2014,Accidental,0,Male,41,Black
2014,Accidental,0,Male,3,Black
2014,Accidental,0,Male,17,Black
2014,Accidental,0,Male,1,Black
2014,Accidental,0,Male,3,Black
2014,Accidental,0,Male,4,Black
2014,Accidental,0,Male,26,Black
2014,Accidental,0,Male,18,Black
2014,Accidental,0,Male,52,Black
2014,Accidental,0,Male,20,Black
2014,Accidental,0,Male,16,Black
2014,Accidental,0,Male,41,Black
2014,Accidental,0,Male,72,Black
2014,Accidental,0,Male,3,Black
2014,Accidental,0,Male,66,Black
2014,Accidental,0,Male,38,Black
2014,Accidental,0,Male,34,Black
2014,Accidental,0,Male,33,Black
2014,Accidental,0,Male,22,Black
2014,Accidental,0,Male,20,Black
2014,Accidental,0,Male,20,Black
2014,Accidental,0,Male,44,Black
2014,Accidental,0,Male,29,Black
2014,Accidental,0,Male,37,Black
2014,Accidental,0,Male,57,Black
2014,Accidental,0,Male,18,Black
2014,Accidental,0,Male,33,Black
2014,Accidental,0,Female,1,Black
2014,Accidental,0,Female,26,Black
2014,Accidental,0,Female,51,Black
2014,Accidental,0,Male,3,Black
2014,Accidental,0,Male,65,Black
2014,Accidental,0,Male,28,Black
2014,Accidental,0,Male,66,Black
2014,Accidental,0,Male,37,Black
2014,Accidental,0,Male,37,Black
2014,Accidental,0,Male,65,Black
2014,Accidental,0,Male,18,Black
2014,Accidental,0,Male,33,Black
2014,Accidental,0,Male,35,Black
2014,Accidental,0,Male,23,Black
2014,Accidental,0,Female,70,Black
2014,Accidental,0,Male,19,Black
2014,Accidental,0,Male,19,Black
2014,Accidental,0,Male,21,Black
2014,Accidental,0,Male,15,Black
2014,Accidental,0,Male,13,Black
2014,Accidental,0,Male,23,Black
2014,Accidental,0,Male,16,Black
2014,Accidental,0,Male,25,Black
2014,Accidental,0,Male,26,Black
2014,Accidental,0,Male,23,Black
2014,Accidental,0,Male,68,Black
2014,Accidental,0,Male,59,Black
2014,Accidental,0,Male,4,Black
2014,Accidental,0,Male,33,Black
2014,Accidental,0,Male,2,Black
2014,Accidental,0,Male,24,Black
2014,Accidental,0,Female,22,Black
2014,Accidental,0,Male,32,Black
2014,Accidental,0,Male,18,Black
2014,Accidental,0,Male,28,Black
2014,Accidental,0,Male,19,Black
2014,Accidental,0,Male,45,Black
2014,Accidental,0,Male,40,Black
2014,Accidental,0,Male,20,Black
2014,Accidental,0,Male,17,Black
2014,Accidental,0,Male,47,Black
2014,Accidental,0,Male,18,Black
2014,Accidental,0,Male,17,Black
2014,Accidental,0,Male,22,Black
2014,Accidental,0,Male,27,Black
2014,Accidental,0,Male,22,Black
2014,Accidental,0,Male,22,Black
2014,Accidental,0,Male,29,Black
2014,Accidental,0,Male,48,Black
2014,Accidental,0,Male,41,Black
2014,Accidental,0,Male,27,Black
2014,Accidental,0,Male,29,Black
2014,Accidental,0,Male,27,Black
2014,Accidental,0,Male,32,Black
2014,Accidental,0,Male,24,Black
2014,Accidental,0,Male,22,Black
2014,Accidental,0,Male,47,Black
2014,Accidental,0,Male,23,Black
2014,Accidental,0,Female,0,Black
2014,Accidental,0,Male,40,Black
2014,Accidental,0,Male,66,Black
2014,Accidental,0,Male,48,Black
2014,Accidental,0,Male,23,Black
2014,Accidental,0,Male,22,Black
2014,Accidental,0,Male,29,Black
2014,Accidental,0,Male,20,Black
2014,Accidental,0,Male,27,Black
2014,Accidental,0,Male,37,Black
2014,Accidental,0,Male,21,Black
2014,Accidental,0,Male,27,Black
2014,Accidental,0,Male,31,Black
2014,Accidental,0,Female,4,Black
2014,Accidental,0,Male,33,Black
2014,Accidental,0,Male,18,Black
2014,Homicide,0,Male,22,Black
2014,Homicide,0,Male,64,Black
2014,Homicide,0,Female,35,Black
2014,Homicide,0,Female,21,Black
2014,Homicide,0,Male,20,Black
2014,Homicide,0,Male,30,Black
2014,Homicide,0,Male,22,Black
2014,Homicide,0,Male,61,Black
2014,Homicide,0,Male,54,Black
2014,Homicide,0,Male,17,Black
2014,Homicide,0,Male,36,Black
2014,Homicide,0,Male,62,Black
2014,Homicide,0,Male,35,Black
2014,Homicide,0,Male,20,Black
